team,scorer,assist1,assist2
PHI,V.LECAVALIER,K.TIMONEN,C.GIROUX
TOR,J.VAN RIEMSDYK,T.BOZAK,
PHI,S.HARTNELL,K.TIMONEN,C.GIROUX
PHI,C.GIROUX,S.HARTNELL,
TOR,D.BOLLAND,M.RAYMOND,J.GARDINER
PHI,W.SIMMONDS,Z.RINALDO,A.MACDONALD
S.J,D.BOYLE,M.HAVLAT,J.SHEPPARD
WPG,A.LADD,M.FROLIK,B.LITTLE
S.J,B.BURNS,J.PAVELSKI,P.MARLEAU
WPG,B.WHEELER,,
WPG,D.BYFUGLIEN,B.WHEELER,M.FROLIK
S.J,L.COUTURE,J.SHEPPARD,M.HAVLAT
WPG,T.ENSTROM,B.WHEELER,B.LITTLE
CAR,J.TLUSTY,E.STAAL,B.BELLEMORE
CAR,J.TLUSTY,A.LOKTIONOV,J.FAULK
CAR,J.SKINNER,P.DWYER,
T.B,R.CALLAHAN,R.GUDAS,V.FILPPULA
NYI,R.STROME,M.MARTIN,M.DONOVAN
NYI,M.DONOVAN,F.NIELSEN,A.LEE
T.B,R.CALLAHAN,E.BREWER,
VAN,Y.WEBER,N.JENSEN,D.SEDIN
COL,M.DUCHENE,A.BENOIT,C.MCLEOD
COL,G.LANDESKOG,P.STASTNY,C.SARICH
VAN,Z.KASSIAN,D.HAMHUIS,D.BOOTH
COL,T.BARRIE,M.DUCHENE,R.OREILLY
NSH,C.SISSONS,R.CLUNE,E.NYSTROM
NSH,C.WILSON,V.STALBERG,N.SPALING
NSH,C.JARNKROK,G.BOURQUE,C.SMITH
NSH,S.WEBER,M.CULLEN,P.HORNQVIST
BUF,R.RISTOLAINEN,B.FLYNN,J.LARSSON
NSH,S.WEBER,R.JOSI,M.FISHER
NSH,E.NYSTROM,R.CLUNE,
STL,T.OSHIE,D.BACKES,R.POLAK
STL,T.OSHIE,,
STL,J.SCHWARTZ,C.COLAIACOVO,J.BOUWMEESTER
STL,T.OSHIE,J.BOUWMEESTER,D.BACKES
STL,B.MORROW,A.STEEN,V.SOBOTKA
MIN,Z.PARISE,C.COYLE,M.KOIVU
MTL,T.PLEKANEC,P.SUBBAN,B.GALLAGHER
MTL,T.PLEKANEC,P.SUBBAN,
DET,R.SHEAHAN,L.GLENDENING,B.LASHOFF
MTL,D.DESHARNAIS,T.VANEK,
