team,scorer,assist1,assist2
OTT,C.BASS,C.PHILLIPS,A.VERMETTE
OTT,A.VERMETTE,C.SCHUBERT,W.REDDEN
OTT,A.VERMETTE,C.STILLMAN,S.DONOVAN
OTT,D.MCAMMOND,,
OTT,A.VERMETTE,C.BASS,B.LEE
TOR,D.MOORE,D.TUCKER,P.KUBINA
OTT,D.HEATLEY,J.SPEZZA,M.LAPOINTE
DAL,M.NISKANEN,P.BOUCHER,L.ERIKSSON
DAL,S.ROBIDAS,J.LUNDQVIST,B.MORROW
DAL,B.MORROW,,
PHX,E.LISIN,N.KAPANEN,D.CARCILLO
PHX,K.BALLARD,S.DOAN,D.WINNIK
DAL,M.MODANO,,
CGY,D.LANGKOW,J.IGINLA,A.AUCOIN
MIN,T.FEDORUK,P.DEMITRA,M.GABORIK
MIN,M.GABORIK,P.DEMITRA,K.CARNEY
MIN,M.GABORIK,K.JOHNSSON,S.HILL
NSH,J.SMITHSON,J.HLAVAC,
STL,J.MCCLEMENT,L.STEMPNIAK,
STL,D.BACKES,A.MCDONALD,E.JOHNSON
NSH,J.DUMONT,J.HLAVAC,J.ARNOTT
NSH,G.DE VRIES,J.DUMONT,J.HLAVAC
T.B,F.KUBA,J.JOKINEN,M.ST. LOUIS
WSH,A.OVECHKIN,V.KOZLOV,M.GREEN
WSH,A.OVECHKIN,M.GREEN,N.BACKSTROM
WSH,B.GORDON,M.BRADLEY,M.COOKE
WSH,T.POTI,S.FEDOROV,V.KOZLOV
NYR,J.JAGR,C.BACKMAN,M.STRAKA
NYR,J.JAGR,B.DUBINSKY,M.ROZSIVAL
NYR,M.STRAKA,B.DUBINSKY,M.ROZSIVAL
CHI,C.BARKER,D.KEITH,Y.PERREAULT
CHI,J.HENDRY,D.BOLLAND,
CHI,R.LANG,J.WILLIAMS,J.WISNIEWSKI
DET,H.ZETTERBERG,N.LIDSTROM,P.DATSYUK
CHI,D.BYFUGLIEN,P.KANE,J.TOEWS
DET,K.MALTBY,,
CHI,P.KANE,D.KEITH,B.SEABROOK
CHI,A.BURISH,P.KANE,J.HENDRY
PHI,S.HARTNELL,D.BRIERE,V.PROSPAL
PIT,S.GONCHAR,S.CROSBY,E.MALKIN
PHI,J.CARTER,J.LUPUL,B.COBURN
PIT,S.CROSBY,S.GONCHAR,M.HOSSA
PIT,E.MALKIN,R.WHITNEY,
PIT,S.CROSBY,S.GONCHAR,M.HOSSA
CAR,E.STAAL,E.COLE,B.HEDICAN
T.B,M.ST. LOUIS,J.JOKINEN,V.LECAVALIER
CAR,C.LAROSE,E.STAAL,T.LETOWSKI
CAR,C.LAROSE,T.RUUTU,J.CORVO
CAR,S.WALKER,D.SEIDENBERG,F.KABERLE
CAR,T.RUUTU,S.SAMSONOV,D.SEIDENBERG
T.B,J.HALPERN,M.ST. LOUIS,V.LECAVALIER
CAR,C.LAROSE,E.COLE,
N.J,D.ZUBRUS,M.RUPP,C.WHITE
BOS,D.WIDEMAN,D.KREJCI,Z.CHARA
BOS,M.LUCIC,P.AXELSSON,G.METROPOLIT
N.J,D.CLARKSON,M.RUPP,D.ZUBRUS
S.J,M.GRIER,P.RISSMILLER,K.MCLAREN
L.A,P.OSULLIVAN,,
S.J,P.MARLEAU,J.ROENICK,B.CAMPBELL
L.A,R.IVANANS,A.FROLOV,D.ARMSTRONG
S.J,M.MICHALEK,J.THORNTON,R.CLOWE
S.J,C.BROWN,J.SHELLEY,
S.J,B.CAMPBELL,M.CARLE,P.MARLEAU
MTL,A.KOVALEV,M.RYDER,P.BRISEBOIS
MTL,M.DANDENAULT,G.LATENDRESSE,M.LAPIERRE
MTL,A.KOSTITSYN,A.KOVALEV,M.STREIT
TOR,D.TUCKER,P.KUBINA,M.BELL
TOR,T.KABERLE,J.BLAKE,D.TUCKER
BUF,D.ROY,M.AFINOGENOV,
BUF,S.BERNIER,A.MAIR,P.GAUSTAD
TOR,A.STEEN,A.PONIKAROVSKY,A.STRALMAN
BUF,T.VANEK,A.SEKERA,J.POMINVILLE
VAN,W.MITCHELL,T.LINDEN,D.SEDIN
VAN,R.KESLER,H.SEDIN,M.NASLUND
COL,J.LILES,J.SAKIC,M.HEJDUK
COL,M.HEJDUK,P.FORSBERG,
COL,W.WOLSKI,J.SAKIC,A.BRUNETTE
COL,P.FORSBERG,A.BRUNETTE,
EDM,C.GLENCROSS,K.BRODZIAK,S.STAIOS
CGY,A.AUCOIN,O.NOLAN,M.LOMBARDI
CGY,A.TANGUAY,A.ERIKSSON,D.PHANEUF
EDM,C.GLENCROSS,K.BRODZIAK,
CGY,O.NOLAN,M.LOMBARDI,D.PHANEUF
FLA,O.JOKINEN,B.MCLEAN,
ATL,J.LAVALLEE-SMOTHERMAN,N.HAVELID,
FLA,J.BOUWMEESTER,,
FLA,D.BOOTH,M.JOHANSSON,N.HORTON
ATL,M.RECCHI,J.LAVALLEE-SMOTHERMAN,
WSH,M.COOKE,M.GREEN,S.FEDOROV
WSH,B.LAICH,T.FLEISCHMANN,V.KOZLOV
CAR,S.WALKER,B.HEDICAN,R.BAYDA
WSH,A.SEMIN,M.GREEN,S.FEDOROV
WSH,A.OVECHKIN,N.BACKSTROM,J.SCHULTZ
NYI,J.VASICEK,B.GUERIN,S.BERGENHEIM
N.J,P.ELIAS,D.ODUYA,P.MARTIN
N.J,Z.PARISE,D.ODUYA,P.ELIAS
STL,A.MCDONALD,D.PERRON,D.BACKES
STL,J.MAYERS,B.JACKMAN,E.JOHNSON
STL,D.PERRON,A.MCDONALD,D.BACKES
NSH,B.BOCHENSKI,R.PEVERLEY,J.TOOTOO
NSH,J.TOOTOO,M.ZIDLICKY,B.BOCHENSKI
NSH,V.FIDDLER,,
NSH,R.PEVERLEY,J.HLAVAC,R.SUTER
ATL,I.KOVALCHUK,C.THORBURN,
ATL,I.KOVALCHUK,B.HOLIK,C.THORBURN
NYR,J.JAGR,C.DRURY,B.SHANAHAN
PIT,M.TALBOT,R.MALONE,G.LARAQUE
NYR,C.DRURY,J.JAGR,S.GOMEZ
CGY,D.MOSS,W.PRIMEAU,C.SARICH
VAN,S.SALO,H.SEDIN,K.BIEKSA
CGY,M.LOMBARDI,J.IGINLA,D.PHANEUF
VAN,M.NASLUND,D.SEDIN,K.BIEKSA
VAN,T.LINDEN,B.RITCHIE,
VAN,T.LINDEN,M.WEAVER,H.SEDIN
VAN,M.PETTINGER,R.SHANNON,T.PYATT
VAN,B.ISBISTER,R.KESLER,K.BIEKSA
CHI,J.TOEWS,P.KANE,B.SEABROOK
CBJ,A.MURRAY,J.NOVOTNY,G.BRULE
CBJ,M.PECA,G.BRULE,K.RUSSELL
CBJ,N.ZHERDEV,A.MURRAY,K.RUSSELL
CHI,J.WILLIAMS,B.SEABROOK,J.TOEWS
CHI,P.SHARP,R.LANG,J.WILLIAMS
CBJ,D.MACKENZIE,D.VYBORNY,
CHI,Y.PERREAULT,C.BARKER,D.BYFUGLIEN
BOS,D.KREJCI,,
BUF,T.LYDMAN,P.GAUSTAD,D.ROY
S.J,J.THORNTON,M.MICHALEK,R.CLOWE
PHX,S.DOAN,D.MORRIS,
S.J,J.THORNTON,M.MICHALEK,
S.J,C.BROWN,B.CAMPBELL,J.ROENICK
ANA,M.SCHNEIDER,R.GETZLAF,S.NIEDERMAYER
DAL,M.MODANO,B.MORROW,J.LEHTINEN
ANA,M.SCHNEIDER,R.GETZLAF,T.SELANNE
DAL,N.HAGMAN,T.PETERSEN,
MIN,B.ROLSTON,K.JOHNSSON,M.KOIVU
MIN,M.GABORIK,B.BURNS,B.ROLSTON
COL,J.FINGER,J.SAKIC,W.WOLSKI
COL,R.SALEI,J.FINGER,W.WOLSKI
MIN,M.GABORIK,P.DEMITRA,
DET,J.FRANZEN,H.ZETTERBERG,B.RAFALSKI
NYR,B.DUBINSKY,J.JAGR,C.BACKMAN
PIT,M.HOSSA,P.DUPUIS,S.CROSBY
PIT,E.MALKIN,S.GONCHAR,S.CROSBY
PIT,M.TALBOT,J.STAAL,R.SCUDERI
CGY,M.LOMBARDI,W.PRIMEAU,R.REGEHR
EDM,D.GREBESHKOV,A.HEMSKY,J.STOLL
EDM,D.PENNER,A.HEMSKY,
CHI,A.LADD,D.BOLLAND,P.SHARP
CHI,J.TOEWS,B.SEABROOK,D.KEITH
CHI,D.KEITH,C.ADAMS,K.ADAMS
CHI,C.ADAMS,B.SOPEL,
STL,K.TKACHUK,P.KARIYA,B.BOYES
STL,B.BOYES,D.PERRON,J.WOYWITKA
STL,P.KARIYA,B.BOYES,E.JOHNSON
CAR,C.LAROSE,T.LETOWSKI,T.RUUTU
T.B,J.JOKINEN,D.BOYLE,K.RAMO
T.B,J.HALPERN,J.JOKINEN,A.PICARD
WSH,V.KOZLOV,B.LAICH,T.POTI
WSH,M.GREEN,A.OVECHKIN,V.KOZLOV
WSH,A.OVECHKIN,V.KOZLOV,T.POTI
NYI,R.PARK,,
NYI,B.COMEAU,R.PARK,K.OKPOSO
PHI,D.BRIERE,,
PHI,J.LUPUL,M.RICHARDS,P.THORESEN
