team,scorer,assist1,assist2
TOR,C.MACARTHUR,M.FRATTIN,C.GUNNARSSON
TOR,P.KESSEL,N.KADRI,
TOR,P.KESSEL,N.KADRI,J.LUPUL
PIT,M.COOKE,B.MORROW,B.SUTTER
PIT,J.JOKINEN,K.LETANG,M.FLEURY
N.J,T.ZAJAC,P.ELIAS,A.VOLCHENKOV
N.J,D.CLARKSON,P.ELIAS,I.KOVALCHUK
N.J,I.KOVALCHUK,S.SULLIVAN,A.GREENE
BOS,D.SEIDENBERG,B.MARCHAND,T.SEGUIN
BOS,D.PAILLE,G.CAMPBELL,S.THORNTON
ANA,M.BELESKEY,C.FOWLER,K.PALMIERI
ANA,B.STAUBITZ,D.STECKEL,B.LOVEJOY
VAN,J.GARRISON,R.KESLER,H.SEDIN
ANA,A.COGLIANO,T.LYDMAN,
STL,R.REAVES,A.CRACKNELL,J.BOUWMEESTER
CGY,S.BAERTSCHI,J.HUDLER,
STL,A.MCDONALD,C.STEWART,R.POLAK
STL,A.STEEN,C.STEWART,
STL,R.REAVES,C.PORTER,A.CRACKNELL
WPG,J.WRIGHT,C.THORBURN,
MTL,R.BOURQUE,A.GALCHENYUK,L.ELLER
WPG,B.WHEELER,B.LITTLE,D.BYFUGLIEN
MTL,B.GALLAGHER,L.ELLER,J.TINORDI
MTL,D.DESHARNAIS,P.SUBBAN,A.MARKOV
MTL,M.PACIORETTY,P.SUBBAN,
NYR,D.STEPAN,C.HAGELIN,R.CALLAHAN
NYR,D.BRASSARD,C.HAGELIN,M.DEL ZOTTO
CAR,J.TLUSTY,J.SKINNER,M.BERGERON
CAR,T.RUUTU,K.WESTGARTH,
CAR,J.TLUSTY,E.STAAL,
NYR,B.RICHARDS,M.DEL ZOTTO,T.PYATT
NYR,R.CALLAHAN,D.STEPAN,R.MCDONAGH
OTT,J.SILFVERBERG,E.KARLSSON,M.MICHALEK
WSH,A.OVECHKIN,M.JOHANSSON,M.GREEN
OTT,S.GONCHAR,E.KARLSSON,D.ALFREDSSON
PHI,D.BRIERE,B.SCHENN,S.GAGNE
NYI,J.TAVARES,M.CARKNER,
PHI,O.LAURIDSEN,B.MANNING,
CHI,J.TOEWS,B.SAAD,M.HOSSA
EDM,N.YAKUPOV,M.FISTRIC,S.HORCOFF
CHI,P.KANE,M.HANDZUS,M.ROZSIVAL
CHI,J.ODUYA,P.KANE,M.HANDZUS
CHI,P.SHARP,P.KANE,M.HANDZUS
L.A,K.CLIFFORD,T.LEWIS,J.STOLL
DET,P.DATSYUK,J.ERICSSON,H.ZETTERBERG
DET,J.TOOTOO,P.EAVES,B.SMITH
DET,J.FRANZEN,H.ZETTERBERG,P.DATSYUK
PHX,M.STONE,R.VRBATA,S.DOAN
PHX,K.YANDLE,O.EKMAN-LARSSON,S.DOAN
S.J,B.BURNS,,
TOR,P.KESSEL,T.BOZAK,
T.B,S.STAMKOS,N.THOMPSON,M.CARLE
T.B,M.ST LOUIS,N.THOMPSON,
TOR,J.LUPUL,C.MACARTHUR,C.FRANSON
T.B,R.GUDAS,T.PURCELL,S.STAMKOS
T.B,M.ST LOUIS,K.AULIE,D.TYRELL
T.B,M.ST LOUIS,V.LECAVALIER,
FLA,T.FLEISCHMANN,F.KUBA,M.WEAVER
NYR,T.PYATT,J.MOORE,M.ZUCCARELLO
FLA,M.GOC,T.FLEISCHMANN,B.CAMPBELL
FLA,D.SHORE,,
NYR,D.BRASSARD,B.RICHARDS,R.CALLAHAN
PHI,S.HARTNELL,,
BOS,W.REDDEN,J.JAGR,C.SODERBERG
PHI,M.READ,W.SIMMONDS,
PHI,O.LAURIDSEN,,
PHI,J.VORACEK,C.GIROUX,
BOS,D.KREJCI,,
PHI,S.GAGNE,C.GIROUX,L.SCHENN
BUF,T.VANEK,C.HODGSON,D.STAFFORD
PIT,C.KUNITZ,B.SUTTER,M.COOKE
BUF,J.HECHT,T.VANEK,M.PYSYK
PIT,J.IGINLA,K.LETANG,E.MALKIN
BUF,S.OTT,M.PYSYK,
BUF,T.VANEK,C.HODGSON,D.STAFFORD
S.J,R.TORRES,S.GOMEZ,M.HAVLAT
DAL,A.ROUSSEL,C.EAKIN,R.GARBUTT
DAL,L.ERIKSSON,A.GOLIGOSKI,R.WHITNEY
S.J,J.PAVELSKI,B.STUART,J.THORNTON
S.J,L.COUTURE,P.MARLEAU,J.BRAUN
MIN,C.COYLE,Z.PARISE,T.GILBERT
MIN,C.CLUTTERBUCK,D.SETOGUCHI,J.BRODIN
L.A,J.CARTER,B.RICHARDSON,
CGY,T.BRODIE,P.BYRON,M.CUNDARI
NSH,D.LEGWAND,S.WEBER,F.FORSBERG
CGY,R.CERVENKA,S.BAERTSCHI,C.BUTLER
NSH,N.SPALING,S.WEBER,R.JOSI
NSH,A.WATSON,C.SMITH,K.KLEIN
NSH,M.HALISCHUK,B.BUTLER,C.MUELLER
CGY,R.CERVENKA,C.BUTLER,S.BAERTSCHI
STL,C.STEWART,J.LEOPOLD,A.MCDONALD
STL,P.BERGLUND,J.BOUWMEESTER,J.LEOPOLD
STL,A.MCDONALD,V.SOBOTKA,C.STEWART
COL,C.MCLEOD,P.STASTNY,G.ZANON
CAR,A.SEMIN,E.STAAL,J.MCBAIN
NYI,B.BOYES,M.STREIT,M.MOULSON
CAR,J.STAAL,J.HARRISON,J.TLUSTY
NYI,J.BAILEY,K.OKPOSO,F.NIELSEN
CAR,P.DWYER,J.STAAL,T.RUUTU
NYI,J.TAVARES,M.MOULSON,K.OKPOSO
WSH,M.HENDRICKS,J.BEAGLE,
WSH,J.CHIMERA,M.PERREAULT,M.GREEN
WPG,E.KANE,D.BYFUGLIEN,
WPG,B.WHEELER,N.ANTROPOV,
WSH,N.BACKSTROM,A.OVECHKIN,J.ERSKINE
WSH,M.PERREAULT,J.HILLEN,J.CHIMERA
WPG,N.ANTROPOV,R.HAINSEY,
WSH,A.OVECHKIN,N.BACKSTROM,M.JOHANSSON
N.J,P.ELIAS,T.ZAJAC,M.ZIDLICKY
N.J,J.JOSEFSON,D.ZUBRUS,S.SULLIVAN
N.J,S.SULLIVAN,M.ZIDLICKY,I.KOVALCHUK
MTL,M.PACIORETTY,R.DIAZ,D.DESHARNAIS
MTL,L.ELLER,A.GALCHENYUK,R.BOURQUE
ANA,R.GETZLAF,F.BEAUCHEMIN,C.PERRY
ANA,R.DVORAK,E.ETEM,D.STECKEL
ANA,S.VATANEN,M.BELESKEY,C.PERRY
DET,J.FRANZEN,D.BRUNNER,H.ZETTERBERG
DET,D.BRUNNER,H.ZETTERBERG,N.KRONWALL
DET,V.FILPPULA,H.ZETTERBERG,N.KRONWALL
DET,J.FRANZEN,J.ERICSSON,
PIT,D.JEFFREY,B.MORROW,P.DUPUIS
PIT,J.IGINLA,B.MORROW,D.JEFFREY
OTT,P.WIERCIOCH,S.GONCHAR,D.ALFREDSSON
PIT,T.KENNEDY,M.COOKE,
VAN,J.HANSEN,J.GARRISON,D.HAMHUIS
VAN,Z.KASSIAN,D.SEDIN,H.SEDIN
VAN,D.SEDIN,H.SEDIN,
CHI,D.CARCILLO,,
WPG,A.GAGNON,D.MEECH,D.BYFUGLIEN
BUF,T.VANEK,T.ENNIS,D.STAFFORD
WPG,A.MIETTINEN,J.WRIGHT,M.STUART
EDM,T.HALL,J.EBERLE,J.PETRY
ANA,C.FOWLER,N.BONINO,
ANA,K.PALMIERI,N.BONINO,T.LYDMAN
ANA,C.PERRY,R.GETZLAF,B.RYAN
L.A,M.RICHARDS,D.PENNER,J.CARTER
L.A,D.BROWN,A.KOPITAR,J.WILLIAMS
DAL,L.ERIKSSON,R.WHITNEY,J.BENN
DAL,A.ROUSSEL,R.GARBUTT,A.GOLIGOSKI
DAL,A.GOLIGOSKI,C.EAKIN,R.SMITH
L.A,D.BROWN,J.CARTER,A.KOPITAR
L.A,J.CARTER,M.RICHARDS,D.DOUGHTY
COL,J.MCGINN,A.PALUSHAJ,P.STASTNY
STL,D.BACKES,J.BOUWMEESTER,A.PIETRANGELO
COL,C.MCLEOD,S.ELLIOTT,G.LANDESKOG
COL,J.MCGINN,R.OREILLY,
STL,J.SCHWARTZ,D.BACKES,
COL,M.DUCHENE,,
STL,K.SHATTENKIRK,P.BERGLUND,V.TARASENKO
COL,C.KOBASEW,J.MCGINN,S.OBRIEN
CAR,A.SEMIN,E.STAAL,
CAR,J.TLUSTY,A.SEMIN,J.CORVO
CAR,J.TLUSTY,E.STAAL,A.SEMIN
T.B,S.STAMKOS,S.SALO,M.ST LOUIS
T.B,M.ST LOUIS,V.LECAVALIER,
CBJ,M.LETESTU,J.JOHNSON,V.PROSPAL
CBJ,V.PROSPAL,M.LETESTU,
S.J,M.HAVLAT,L.COUTURE,J.BRAUN
CBJ,M.LETESTU,F.TYUTIN,B.DUBINSKY
S.J,A.DESJARDINS,M.IRWIN,
S.J,J.PAVELSKI,S.GOMEZ,M.IRWIN
CBJ,R.JOHANSEN,R.UMBERGER,
CGY,M.CUNDARI,T.BRODIE,M.CAMMALLERI
MIN,Z.PARISE,C.COYLE,M.KOIVU
CGY,M.BACKLUND,L.STEMPNIAK,S.BAERTSCHI
CGY,M.CAMMALLERI,M.CUNDARI,T.BRODIE
CGY,J.HUDLER,M.REINHART,M.GIORDANO
NYR,R.CALLAHAN,C.HAGELIN,D.STEPAN
NYR,D.STEPAN,R.CLOWE,R.MCDONAGH
NYR,T.PYATT,B.RICHARDS,
NYR,R.CALLAHAN,B.RICHARDS,M.DEL ZOTTO
N.J,A.LOKTIONOV,I.KOVALCHUK,P.HARROLD
BOS,J.JAGR,C.KELLY,C.SODERBERG
BOS,D.HAMILTON,S.THORNTON,
BOS,B.MARCHAND,T.SEGUIN,P.BERGERON
CHI,B.SEABROOK,N.LEDDY,P.KANE
PHX,R.KLESLA,M.STONE,
PHX,R.VRBATA,R.KLINKHAMMER,
CHI,B.SEABROOK,P.KANE,N.LEDDY
VAN,A.EDLER,D.HAMHUIS,D.ROY
DET,C.EMMERTON,D.BRUNNER,
PHI,J.VORACEK,C.GIROUX,
CAR,J.SKINNER,,
PHI,W.SIMMONDS,M.READ,
CAR,J.FAULK,T.WALLACE,K.WESTGARTH
PHI,W.SIMMONDS,S.COUTURIER,M.READ
PHI,W.SIMMONDS,B.SCHENN,
CAR,E.STAAL,J.TLUSTY,A.SEMIN
PHI,M.READ,W.SIMMONDS,
TOR,J.VAN RIEMSDYK,C.FRANSON,P.KESSEL
TOR,J.VAN RIEMSDYK,P.KESSEL,C.FRANSON
OTT,J.SILFVERBERG,C.CONACHER,
TOR,N.KADRI,N.KULEMIN,
TOR,J.LUPUL,,
WSH,A.OVECHKIN,N.BACKSTROM,
WSH,T.BROUWER,K.ALZNER,M.RIBEIRO
WSH,T.BROUWER,M.JOHANSSON,M.RIBEIRO
WSH,N.BACKSTROM,A.OVECHKIN,M.GREEN
WSH,A.OVECHKIN,M.GREEN,M.RIBEIRO
MTL,M.PACIORETTY,T.PLEKANEC,J.GORGES
NYI,F.NIELSEN,K.OKPOSO,J.BAILEY
WPG,Z.BOGOSIAN,B.WHEELER,A.LADD
NYI,J.BAILEY,K.OKPOSO,F.NIELSEN
NYI,M.MARTIN,J.JOENSUU,L.VISNOVSKY
WPG,K.WELLWOOD,E.KANE,J.WRIGHT
WPG,K.WELLWOOD,G.CLITSOME,
NYI,M.GRABNER,C.MCDONALD,L.VISNOVSKY
WPG,B.LITTLE,A.LADD,G.CLITSOME
FLA,M.GOC,T.FLEISCHMANN,B.CAMPBELL
FLA,B.CAMPBELL,M.WEAVER,S.MATTHIAS
N.J,P.ELIAS,P.HARROLD,M.BRODEUR
N.J,P.ELIAS,D.CLARKSON,T.ZAJAC
N.J,D.CLARKSON,T.ZAJAC,A.PONIKAROVSKY
N.J,R.CARTER,S.BERNIER,S.GIONTA
N.J,S.GIONTA,R.CARTER,
N.J,D.ZUBRUS,A.LARSSON,A.GREENE
BOS,B.MARCHAND,Z.CHARA,T.RASK
PIT,J.JOKINEN,M.NISKANEN,T.GLASS
PIT,J.IGINLA,J.JOKINEN,B.BENNETT
PIT,K.LETANG,J.JOKINEN,C.KUNITZ
BOS,T.SEGUIN,Z.CHARA,
CHI,D.KEITH,V.STALBERG,J.TOEWS
NSH,M.HALISCHUK,K.KLEIN,V.BARTLEY
NSH,K.HENDERSON,C.MUELLER,B.BUTLER
CHI,B.SAAD,J.TOEWS,D.KEITH
CHI,P.KANE,B.BICKELL,
NSH,M.HALISCHUK,V.BARTLEY,
CHI,M.HANDZUS,,
NSH,B.BUTLER,M.HALISCHUK,S.WEBER
CHI,M.HOSSA,P.KANE,D.KEITH
CGY,R.HORAK,L.STEMPNIAK,M.CAMMALLERI
CGY,B.MCGRATTAN,M.CAMMALLERI,B.CARSON
ANA,C.PERRY,K.PALMIERI,C.FOWLER
CGY,R.CERVENKA,S.BAERTSCHI,
EDM,T.HALL,J.PETRY,J.SCHULTZ
COL,P.PARENTEAU,S.OBRIEN,J.MITCHELL
EDM,J.SCHULTZ,J.EBERLE,M.PAAJARVI
EDM,R.NUGENT-HOPKINS,J.EBERLE,N.SCHULTZ
EDM,J.EBERLE,M.FISTRIC,M.PAAJARVI
STL,C.STEWART,A.PIETRANGELO,A.STEEN
STL,R.REAVES,C.PORTER,
DAL,S.ROBIDAS,A.ROME,M.FRASER
NYR,C.HAGELIN,D.STEPAN,H.LUNDQVIST
NYR,B.RICHARDS,M.ZUCCARELLO,
NYR,R.CLOWE,,
NYR,A.STRALMAN,R.CLOWE,R.NASH
NYR,B.RICHARDS,T.PYATT,J.MOORE
NYR,R.NASH,D.STEPAN,S.EMINGER
BUF,C.HODGSON,C.EHRHOFF,T.ENNIS
BUF,N.GERBE,,
NYR,R.CALLAHAN,,
BUF,D.STAFFORD,M.FOLIGNO,
NYR,B.RICHARDS,R.MCDONAGH,
BUF,M.PYSYK,C.EHRHOFF,T.ENNIS
S.J,M.HAVLAT,L.COUTURE,P.MARLEAU
S.J,L.COUTURE,P.MARLEAU,J.THORNTON
MIN,P.BOUCHARD,J.POMINVILLE,T.GILBERT
S.J,M.HAVLAT,L.COUTURE,
S.J,R.TORRES,J.PAVELSKI,
S.J,J.PAVELSKI,R.TORRES,J.DEMERS
S.J,L.COUTURE,M.HAVLAT,
