team,scorer,assist1,assist2
ANA,R.CARTER,K.CHIPCHURA,T.BODIE
ANA,S.EMINGER,N.BONINO,
EDM,M.COMRIE,P.OSULLIVAN,R.WHITNEY
ANA,M.BELESKEY,C.PERRY,
ANA,T.SELANNE,S.KOIVU,J.WISNIEWSKI
EDM,R.WHITNEY,A.COGLIANO,T.GILBERT
ANA,R.CARTER,S.EMINGER,
ANA,G.PARROS,,
ANA,K.CHIPCHURA,S.KOIVU,J.WISNIEWSKI
FLA,R.OLESZ,R.DVORAK,S.MATTHIAS
T.B,A.TANGUAY,B.BOCHENSKI,M.LUNDIN
T.B,V.LECAVALIER,A.TANGUAY,R.MALONE
T.B,S.STAMKOS,V.LECAVALIER,
PIT,E.MALKIN,A.GOLIGOSKI,S.CROSBY
PIT,E.GODARD,S.CROSBY,S.GONCHAR
PIT,S.CROSBY,E.MALKIN,P.DUPUIS
NYI,J.TAVARES,M.STREIT,K.OKPOSO
PIT,S.CROSBY,M.TALBOT,
NYI,M.MOULSON,M.STREIT,F.NIELSEN
PIT,E.MALKIN,S.CROSBY,A.GOLIGOSKI
NYI,K.OKPOSO,M.STREIT,J.TAVARES
NYI,J.SIM,T.HUNTER,J.HILLEN
NYI,J.TAVARES,F.MEYER,K.OKPOSO
PIT,J.LEOPOLD,E.MALKIN,M.EATON
BUF,T.VANEK,D.ROY,T.KENNEDY
N.J,T.ZAJAC,I.KOVALCHUK,P.MARTIN
N.J,J.LANGENBRUNNER,Z.PARISE,B.ROLSTON
NYR,J.SHELLEY,M.ROZSIVAL,A.ANISIMOV
PHI,M.CARLE,J.CARTER,D.BRIERE
CHI,D.BOLLAND,J.TOEWS,P.KANE
DET,P.EAVES,D.CLEARY,D.HELM
DET,T.HOLMSTROM,B.RAFALSKI,P.DATSYUK
CHI,C.FRASER,M.HOSSA,D.KEITH
DET,B.STUART,D.CLEARY,H.ZETTERBERG
COL,R.STOA,M.HEJDUK,R.WILSON
L.A,J.STOLL,M.GREENE,D.BROWN
L.A,D.BROWN,D.DOUGHTY,S.ODONNELL
WSH,A.SEMIN,T.POTI,J.CARLSON
BOS,M.RYDER,M.LUCIC,Z.HAMILL
BOS,M.RYDER,D.WIDEMAN,
WSH,E.BELANGER,B.GORDON,M.BRADLEY
WSH,M.KNUBLE,M.GREEN,B.LAICH
BOS,M.STURM,D.KREJCI,
S.J,D.SETOGUCHI,J.PAVELSKI,D.MURRAY
PHX,L.STEMPNIAK,,
S.J,P.MARLEAU,D.HEATLEY,J.THORNTON
PHX,M.LOMBARDI,S.DOAN,W.WOLSKI
T.B,S.STAMKOS,K.FOSTER,M.ST LOUIS
FLA,S.WEISS,N.HORTON,B.MCCABE
T.B,S.STAMKOS,A.MESZAROS,Z.KONOPKA
T.B,M.ST LOUIS,S.STAMKOS,K.FOSTER
FLA,M.FROLIK,N.HORTON,D.KULIKOV
FLA,N.HORTON,S.WEISS,K.BALLARD
