id,team,scorer,assist1,assist2
110,EDM,S.HORCOFF,J.STOLL,A.HEMSKY
111,EDM,A.HEMSKY,S.HORCOFF,D.PENNER
112,EDM,E.MOREAU,F.PISANI,
113,EDM,K.BRODZIAK,R.NILSSON,D.GREBESHKOV
114,EDM,S.SOURAY,J.STOLL,S.HORCOFF
115,EDM,R.NILSSON,K.BRODZIAK,
116,EDM,D.GREBESHKOV,S.HORCOFF,A.HEMSKY
117,EDM,A.HEMSKY,T.GILBERT,J.PITKANEN
118,EDM,S.HORCOFF,A.HEMSKY,D.PENNER
119,EDM,M.REASONER,J.STOLL,T.GILBERT
120,EDM,J.STOLL,S.HORCOFF,D.PENNER
121,EDM,J.STOLL,S.HORCOFF,A.HEMSKY
122,EDM,S.HORCOFF,A.HEMSKY,S.SOURAY
123,EDM,Z.STORTINI,S.STAIOS,G.SANDERSON
124,EDM,E.MOREAU,M.REASONER,
125,EDM,T.GILBERT,P.THORESEN,
126,EDM,D.PENNER,R.NILSSON,J.PITKANEN
127,EDM,D.PENNER,J.STOLL,S.HORCOFF
128,EDM,E.MOREAU,F.PISANI,A.COGLIANO
129,EDM,S.STAIOS,E.MOREAU,S.SOURAY
130,EDM,J.PITKANEN,M.REASONER,K.BRODZIAK
131,EDM,A.COGLIANO,E.MOREAU,F.PISANI
132,EDM,F.PISANI,D.PENNER,S.SOURAY
133,EDM,J.STOLL,K.BRODZIAK,
134,EDM,M.REASONER,T.GILBERT,J.PITKANEN
135,EDM,T.GILBERT,A.COGLIANO,R.NILSSON
136,EDM,D.PENNER,,
137,EDM,J.PITKANEN,A.HEMSKY,
138,EDM,D.PENNER,T.GILBERT,J.STOLL
139,EDM,S.HORCOFF,A.HEMSKY,S.SOURAY
140,EDM,A.HEMSKY,D.PENNER,S.SOURAY
141,EDM,J.PITKANEN,R.NILSSON,S.GAGNER
142,EDM,F.PISANI,S.GAGNER,R.NILSSON
143,EDM,S.HORCOFF,A.HEMSKY,
144,EDM,D.PENNER,S.HORCOFF,A.HEMSKY
145,EDM,S.SOURAY,J.PITKANEN,A.HEMSKY
146,EDM,F.PISANI,R.NILSSON,S.GAGNER
147,EDM,S.GAGNER,R.NILSSON,F.PISANI
148,EDM,D.PENNER,,
149,EDM,T.GILBERT,R.TORRES,J.STOLL
150,EDM,S.HORCOFF,D.PENNER,A.HEMSKY
151,EDM,S.HORCOFF,A.HEMSKY,
152,EDM,R.NILSSON,S.GAGNER,
153,EDM,M.REASONER,S.HORCOFF,D.PENNER
154,EDM,R.NILSSON,J.PITKANEN,K.BRODZIAK
155,EDM,S.HORCOFF,A.HEMSKY,
156,EDM,J.PITKANEN,R.TORRES,
157,EDM,D.PENNER,J.PITKANEN,S.HORCOFF
158,EDM,P.THORESEN,R.NILSSON,
159,EDM,R.TORRES,Z.STORTINI,J.STOLL
160,EDM,D.PENNER,R.NILSSON,A.COGLIANO
161,EDM,J.PITKANEN,S.HORCOFF,J.STOLL
162,EDM,T.GILBERT,S.GAGNER,S.HORCOFF
163,EDM,A.HEMSKY,S.HORCOFF,J.STOLL
164,EDM,S.HORCOFF,D.PENNER,J.STOLL
165,EDM,K.BRODZIAK,M.REASONER,R.TORRES
166,EDM,A.COGLIANO,T.GILBERT,
167,EDM,S.STAIOS,R.NILSSON,S.HORCOFF
168,EDM,R.TORRES,J.STOLL,Z.STORTINI
169,EDM,S.HORCOFF,D.GREBESHKOV,S.GAGNER
170,EDM,K.BRODZIAK,G.SANDERSON,D.GREBESHKOV
171,EDM,A.COGLIANO,R.NILSSON,D.PENNER
172,EDM,A.HEMSKY,,
173,EDM,A.HEMSKY,D.GREBESHKOV,G.SANDERSON
174,EDM,M.REASONER,K.BRODZIAK,G.SANDERSON
175,EDM,S.HORCOFF,A.HEMSKY,
176,EDM,A.HEMSKY,S.HORCOFF,L.SMID
177,EDM,T.GILBERT,G.SANDERSON,A.COGLIANO
178,EDM,M.REASONER,K.BRODZIAK,S.STAIOS
179,EDM,S.HORCOFF,A.HEMSKY,T.GILBERT
180,EDM,D.PENNER,S.HORCOFF,A.HEMSKY
181,EDM,A.COGLIANO,S.GAGNER,G.SANDERSON
182,EDM,J.STOLL,A.HEMSKY,
183,EDM,J.STOLL,,
184,EDM,S.GAGNER,A.COGLIANO,M.REASONER
185,EDM,R.NILSSON,A.COGLIANO,T.GILBERT
186,EDM,S.HORCOFF,D.PENNER,D.TARNSTROM
187,EDM,S.HORCOFF,D.TARNSTROM,R.NILSSON
188,EDM,K.BRODZIAK,A.COGLIANO,M.REASONER
189,EDM,D.TARNSTROM,T.GILBERT,S.HORCOFF
190,EDM,A.HEMSKY,J.STOLL,D.PENNER
191,EDM,D.PENNER,A.HEMSKY,J.STOLL
192,EDM,S.HORCOFF,R.NILSSON,D.PENNER
193,EDM,A.HEMSKY,S.HORCOFF,
194,EDM,S.STAIOS,J.STOLL,
195,EDM,A.HEMSKY,S.HORCOFF,
196,EDM,A.COGLIANO,G.SANDERSON,T.GILBERT
197,EDM,J.STOLL,A.HEMSKY,
198,EDM,S.HORCOFF,L.SMID,R.TORRES
199,EDM,A.HEMSKY,R.TORRES,S.HORCOFF
200,EDM,S.HORCOFF,D.GREBESHKOV,R.TORRES
201,EDM,A.HEMSKY,S.HORCOFF,D.PENNER
202,EDM,D.PENNER,A.COGLIANO,S.GAGNER
203,EDM,T.GILBERT,D.PENNER,S.GAGNER
204,EDM,S.GAGNER,S.HORCOFF,M.GREENE
205,EDM,R.TORRES,A.HEMSKY,S.STAIOS
206,EDM,K.BRODZIAK,D.TARNSTROM,M.REASONER
207,EDM,R.TORRES,A.HEMSKY,A.COGLIANO
208,EDM,S.HORCOFF,K.BRODZIAK,D.TARNSTROM
209,EDM,A.COGLIANO,J.STOLL,
210,EDM,S.SOURAY,S.GAGNER,S.HORCOFF
211,EDM,R.TORRES,A.COGLIANO,S.GAGNER
212,EDM,S.HORCOFF,A.HEMSKY,D.PENNER
213,EDM,A.COGLIANO,J.PITKANEN,R.NILSSON
214,EDM,S.STAIOS,S.HORCOFF,A.HEMSKY
215,EDM,D.PENNER,A.HEMSKY,S.HORCOFF
216,EDM,G.SANDERSON,M.REASONER,K.BRODZIAK
217,EDM,J.PITKANEN,S.GAGNER,A.COGLIANO
218,EDM,G.SANDERSON,K.BRODZIAK,
219,EDM,T.GILBERT,A.COGLIANO,S.GAGNER
220,EDM,K.BRODZIAK,S.SOURAY,M.REASONER
221,EDM,T.GILBERT,F.PISANI,A.COGLIANO
222,EDM,A.KOTALIK,A.HEMSKY,S.HORCOFF
223,EDM,S.MACINTYRE,K.BRODZIAK,S.SOURAY
224,EDM,S.HORCOFF,S.SOURAY,D.GREBESHKOV
225,EDM,P.OSULLIVAN,K.BRODZIAK,
226,EDM,S.SOURAY,D.GREBESHKOV,S.HORCOFF
227,EDM,F.PISANI,D.GREBESHKOV,T.GILBERT
228,EDM,A.KOTALIK,S.HORCOFF,S.SOURAY
229,EDM,D.GREBESHKOV,S.GAGNER,P.OSULLIVAN
230,EDM,S.GAGNER,,
