team,scorer,assist1,assist2
Pittsburgh,Sidney Crosby,Chris Kunitz,
Chicago,Ben Smith,,
Chicago,Brandon Bollig,Ryan Hartman,Sheldon Brookbank
Los Angeles,Matt Frattin,Drew Doughty,
Los Angeles,Scott Sabourin,Jeff Schultz,Linden Vey
Los Angeles,Drew Doughty,Jake Muzzin,Jeff Carter
Los Angeles,Jeff Carter,Tanner Pearson,
Los Angeles,Jeff Carter,Matt Frattin,Mike Richards
Los Angeles,Anze Kopitar,Matt Frattin,Drew Doughty
Chicago,Bryan Bickell,Brandon Pirri,Johnny Oduya
Chicago,Bryan Bickell,Jeremy Morin,Michael Kostka
Pittsburgh,Kris Letang,,
Pittsburgh,Kris Letang,Evgeni Malkin,James Neal
Washington,Connor Carrick,Mikhail Grabovski,Troy Brouwer
Boston,Zdeno Chara,Dennis Seidenberg,Jarome Iginla
Boston,Zdeno Chara,Dennis Seidenberg,Milan Lucic
Washington,Martin Erat,Nate Schmidt,Mikhail Grabovski
Boston,Chris Kelly,Matt Bartkowski,Reilly Smith
Columbus,James Wisniewski,Marian Gaborik,Jack Johnson
Minnesota,Keith Ballard,Jason Zucker,Justin Fontaine
Montreal,Max Pacioretty,Daniel Briere,
New Jersey,Michael Ryder,,
Montreal,Max Pacioretty,David Desharnais,
New Jersey,Adam Larsson,Dainius Zubrus,Andy Greene
Montreal,Ryan White,Jarred Tinordi,Francis Bouillon
Calgary,Curtis Glencross,Matt Stajan,Dennis Wideman
Calgary,Dennis Wideman,Matt Stajan,Tj Galiardi
NY Rangers,Marc Staal,Jesper Fast,Marek Hrivik
Calgary,Matt Stajan,Curtis Glencross,Lee Stempniak
Calgary,Lance Bouma,Sean Monahan,
Winnipeg,Chris Thorburn,Adam Pardy,
Edmonton,Jesse Joensuu,Tyler Pitlick,Philip Larsen
Edmonton,Will Acton,Anton Belov,
Vancouver,Chris Higgins,Ryan Kesler,
Vancouver,Jannik Hansen,Kevin Bieksa,Yannick Weber
Phoenix,Martin Hanzal,David Rundblad,Radim Vrbata
Vancouver,Yannick Weber,Alexandre Burrows,Andrew Alberts
Vancouver,Mike Santorelli,Hunter Shinkaruk,Bo Horvat
Vancouver,Tom Sestito,Bo Horvat,Alexander Edler
Vancouver,Jason Garrison,Henrik Sedin,Jannik Hansen
New Jersey,Marek Zidlicky,Ryane Clowe,Patrik Elias
New Jersey,Mike Sislo,Rod Pelley,Jacob Josefson
Philadelphia,Kimmo Timonen,Claude Giroux,Vincent Lecavalier
Toronto,James Van Riemsdyk,Tyler Bozak,David Clarkson
Ottawa,Zack Smith,Colin Greening,Mark Borowiecki
Ottawa,Jim OBrien,Corey Cowick,Patrick Wiercioch
Ottawa,Colin Greening,Mark Stone,Cody Ceci
Toronto,Dion Phaneuf,Joffrey Lupul,Tyler Bozak
Nashville,Simon Moser,Rich Clune,
Nashville,Kevin Klein,Paul Gaustad,
Tampa Bay,Steven Stamkos,Jonathan Drouin,
Dallas,Colton Sceviour,Kevin Connauton,Lane Macdermid
Dallas,Jamie Benn,Colton Sceviour,
Dallas,Jamie Benn,Jordie Benn,
Dallas,Colton Sceviour,Travis Morin,
Colorado,Gabriel Landeskog,Paul Stastny,Matt Hunwick
Colorado,Brad Malone,Cody Mcleod,Matt Hunwick
Colorado,Paul Stastny,Pa Parenteau,
Dallas,Colton Sceviour,Jordie Benn,
NY Rangers,Marc Staal,Mats Zuccarello,
Edmonton,Taylor Hall,Justin Schultz,Ales Hemsky
Edmonton,David Perron,Mark Arcobello,Jordan Eberle
Edmonton,David Perron,Jeff Petry,Jordan Eberle
Edmonton,Ben Eager,Ryan Smyth,
Edmonton,Jordan Eberle,Darnell Nurse,Mark Arcobello
NY Rangers,Dan Girardi,Ryan Mcdonagh,Benoit Pouliot
Anaheim,Hampus Lindholm,Nick Bonino,Patrick Maroon
Los Angeles,Justin Williams,Alec Martinez,Slava Voynov
Los Angeles,Anze Kopitar,Dwight King,Justin Williams
San Jose,Tomas Hertl,Scott Hannan,Joe Thornton
San Jose,Dan Boyle,Tyler Kennedy,Joe Pavelski
San Jose,Joe Thornton,Patrick Marleau,Logan Couture
San Jose,Logan Couture,Joe Pavelski,Dan Boyle
San Jose,Tomas Hertl,Brent Burns,Joe Thornton
Columbus,Brandon Dubinsky,Marian Gaborik,
Columbus,Boone Jenner,Jack Johnson,Brandon Dubinsky
Columbus,Cam Atkinson,Ryan Murray,
Pittsburgh,Jussi Jokinen,Evgeni Malkin,Robert Bortuzzo
Pittsburgh,Jussi Jokinen,Evgeni Malkin,James Neal
Pittsburgh,Jussi Jokinen,James Neal,Paul Martin
Columbus,Boone Jenner,Brandon Dubinsky,Marian Gaborik
Columbus,Derek Mackenzie,Brandon Dubinsky,Jack Johnson
Tampa Bay,Ryan Malone,Victor Hedman,Steven Stamkos
Tampa Bay,Martin St Louis,Steven Stamkos,Teddy Purcell
Florida,Erik Gudbranson,Dmitry Kulikov,
Florida,Dmitry Kulikov,Tom Gilbert,Tomas Kopecky
Florida,Bobby Butler,Tomas Kopecky,Vincent Trocheck
Tampa Bay,Steven Stamkos,Matthew Carle,
Florida,Bobby Butler,Erik Gudbranson,Dmitry Kulikov
Buffalo,Mark Pysyk,Drew Stafford,
Buffalo,Marcus Foligno,Tyler Ennis,Mark Pysyk
Toronto,Jamie Devane,Josh Leivo,Mark Fraser
Toronto,Jay Mcclement,Carter Ashton,Nikolai Kulemin
Carolina,Drayson Bowman,Eric Staal,Jared Staal
Carolina,Jeff Skinner,Riley Nash,
Carolina,Nathan Gerbe,Eric Staal,Ryan Murphy
Montreal,Michaël Bournival,Andrei Markov,
Boston,Carl Soderberg,Chris Kelly,
Boston,Carl Soderberg,,
Dallas,Alex Chiasson,Sergei Gonchar,Tyler Seguin
St. Louis,Jaden Schwartz,Dmitrij Jaskin,Roman Polak
Dallas,Jamie Benn,Tyler Seguin,
St. Louis,Alex Pietrangelo,Derek Roy,Vladimir Sobotka
St. Louis,Patrik Berglund,Alex Pietrangelo,Jordan Leopold
Minnesota,Carson Mcmillan,Keith Ballard,Clayton Stoner
Minnesota,Charlie Coyle,Justin Fontaine,Keith Ballard
Winnipeg,Eric ODell,Bryan Little,Andrew Ladd
Winnipeg,Patrice Cormier,Jim Slater,Tobias Enstrom
Winnipeg,Paul Postma,Jacob Trouba,Eric ODell
Minnesota,Ryan Suter,Zach Parise,Mikko Koivu
Vancouver,Mike Santorelli,Yannick Weber,
Edmonton,Sam Gagner,David Perron,Jordan Eberle
Edmonton,David Perron,Ryan Hamilton,Taylor Fedun
Edmonton,Ryan Smyth,Taylor Fedun,Ales Hemsky
Vancouver,Jannik Hansen,Mike Santorelli,
Edmonton,Nail Yakupov,Jujhar Khaira,Ryan Hamilton
Edmonton,Will Acton,Ales Hemsky,
Phoenix,Oliver Ekman-Larsson,Tim Kennedy,Chris Brown
San Jose,Freddie Hamilton,Logan Couture,Patrick Marleau
San Jose,Jason Demers,Patrick Marleau,Joe Pavelski
Phoenix,Andy Miele,Chris Brown,Lucas Lessio
San Jose,Logan Couture,Jason Demers,Joe Pavelski
NY Islanders,Riley Wetmore,Kirill Kabanov,Eric Boulton
NY Islanders,Ryan Strome,Anders Lee,Chris Bruton
NY Islanders,Ryan Pulock,Griffin Reinhart,Ryan Strome
NY Islanders,Brock Nelson,Chris Bruton,Evgeni Nabokov
