team,scorer,assist1,assist2
VAN,M.RAYMOND,J.JAFFRAY,A.MILLER
VAN,D.SEDIN,,
VAN,J.JAFFRAY,T.PYATT,M.RAYMOND
VAN,T.PYATT,B.MORRISON,M.NASLUND
VAN,A.EDLER,T.PYATT,B.MORRISON
VAN,R.KESLER,A.BURROWS,W.MITCHELL
VAN,A.BURROWS,L.KRAJICEK,M.COOKE
VAN,T.PYATT,B.MORRISON,R.KESLER
VAN,D.SEDIN,H.SEDIN,M.NASLUND
VAN,D.SEDIN,M.NASLUND,H.SEDIN
VAN,T.LINDEN,,
VAN,M.OHLUND,M.NASLUND,D.SEDIN
VAN,B.RITCHIE,T.PYATT,B.MORRISON
VAN,B.MORRISON,T.PYATT,M.COOKE
VAN,M.BROWN,L.KRAJICEK,T.PYATT
VAN,M.OHLUND,M.NASLUND,H.SEDIN
VAN,L.KRAJICEK,D.SEDIN,H.SEDIN
VAN,M.NASLUND,D.SEDIN,H.SEDIN
VAN,R.KESLER,M.NASLUND,H.SEDIN
VAN,M.COOKE,A.EDLER,M.OHLUND
VAN,R.KESLER,M.COOKE,M.OHLUND
VAN,B.MORRISON,S.SALO,M.NASLUND
VAN,D.SEDIN,,
VAN,R.KESLER,T.PYATT,B.ISBISTER
VAN,M.NASLUND,A.EDLER,B.MORRISON
VAN,R.KESLER,A.MILLER,C.SANFORD
VAN,M.NASLUND,D.SEDIN,H.SEDIN
VAN,M.NASLUND,H.SEDIN,D.SEDIN
VAN,A.BURROWS,,
VAN,B.ISBISTER,R.KESLER,W.MITCHELL
VAN,A.EDLER,M.NASLUND,H.SEDIN
VAN,M.NASLUND,B.MORRISON,A.EDLER
VAN,H.SEDIN,,
VAN,W.MITCHELL,M.NASLUND,D.SEDIN
VAN,M.NASLUND,H.SEDIN,D.SEDIN
VAN,B.ISBISTER,R.KESLER,T.PYATT
VAN,T.PYATT,B.ISBISTER,A.EDLER
VAN,M.NASLUND,H.SEDIN,B.MORRISON
VAN,M.OHLUND,A.BURROWS,B.MORRISON
VAN,D.SEDIN,H.SEDIN,M.OHLUND
VAN,T.LINDEN,,
VAN,L.BOURDON,B.RITCHIE,
VAN,H.SEDIN,T.PYATT,B.ISBISTER
VAN,H.SEDIN,D.SEDIN,A.EDLER
VAN,B.MORRISON,D.SEDIN,H.SEDIN
VAN,B.RITCHIE,W.MITCHELL,A.MILLER
VAN,A.BURROWS,T.LINDEN,
VAN,D.SEDIN,H.SEDIN,M.NASLUND
VAN,B.MORRISON,D.SEDIN,H.SEDIN
VAN,R.KESLER,M.NASLUND,T.PYATT
VAN,D.SEDIN,H.SEDIN,M.OHLUND
VAN,M.COOKE,T.LINDEN,B.MORRISON
VAN,M.NASLUND,T.PYATT,R.KESLER
VAN,D.SEDIN,,
VAN,T.PYATT,R.KESLER,
VAN,T.PYATT,B.MORRISON,M.NASLUND
VAN,M.COOKE,A.EDLER,A.BURROWS
VAN,D.SEDIN,H.SEDIN,L.KRAJICEK
VAN,B.MORRISON,B.ISBISTER,
VAN,R.KESLER,A.BURROWS,M.COOKE
VAN,K.BIEKSA,L.KRAJICEK,D.SEDIN
VAN,M.NASLUND,W.MITCHELL,
VAN,R.KESLER,,
VAN,M.COOKE,A.BURROWS,R.KESLER
VAN,M.OHLUND,L.KRAJICEK,R.KESLER
VAN,T.PYATT,B.ISBISTER,M.NASLUND
VAN,H.SEDIN,D.SEDIN,R.KESLER
VAN,B.MORRISON,M.NASLUND,
VAN,D.SEDIN,H.SEDIN,
VAN,D.SEDIN,H.SEDIN,K.BIEKSA
VAN,T.PYATT,H.SEDIN,M.NASLUND
VAN,H.SEDIN,D.SEDIN,K.BIEKSA
VAN,R.RYPIEN,J.COWAN,A.BURROWS
VAN,A.BURROWS,R.RYPIEN,
VAN,B.MORRISON,K.BIEKSA,R.LUONGO
VAN,M.NASLUND,B.MORRISON,
VAN,R.SHANNON,D.SEDIN,H.SEDIN
VAN,L.KRAJICEK,D.SEDIN,H.SEDIN
VAN,M.OHLUND,R.KESLER,B.MORRISON
VAN,M.NASLUND,L.KRAJICEK,R.LUONGO
VAN,R.SHANNON,D.SEDIN,H.SEDIN
VAN,D.SEDIN,M.OHLUND,M.NASLUND
VAN,B.MORRISON,M.RAYMOND,
VAN,H.SEDIN,D.SEDIN,W.MITCHELL
VAN,R.KESLER,M.SUNDIN,A.EDLER
VAN,R.RYPIEN,R.JOHNSON,A.EDLER
VAN,M.OHLUND,R.KESLER,
VAN,M.OHLUND,M.SUNDIN,A.EDLER
VAN,H.SEDIN,D.SEDIN,A.BURROWS
VAN,P.DEMITRA,,
VAN,M.RAYMOND,M.SUNDIN,M.OHLUND
VAN,A.BURROWS,H.SEDIN,S.SALO
VAN,K.WELLWOOD,R.KESLER,P.DEMITRA
VAN,H.SEDIN,A.BURROWS,D.SEDIN
VAN,K.WELLWOOD,S.BERNIER,T.PYATT
VAN,A.BURROWS,D.SEDIN,H.SEDIN
VAN,D.SEDIN,K.BIEKSA,S.SALO
VAN,R.KESLER,P.DEMITRA,H.SEDIN
VAN,P.DEMITRA,M.SUNDIN,A.EDLER
VAN,H.SEDIN,D.SEDIN,K.BIEKSA
VAN,D.SEDIN,H.SEDIN,A.BURROWS
VAN,A.BURROWS,D.SEDIN,H.SEDIN
VAN,D.SEDIN,H.SEDIN,A.BURROWS
VAN,R.KESLER,M.SUNDIN,S.SALO
VAN,H.SEDIN,P.DEMITRA,W.MITCHELL
VAN,D.SEDIN,M.SUNDIN,K.BIEKSA
VAN,P.DEMITRA,M.SUNDIN,R.KESLER
VAN,A.EDLER,D.SEDIN,H.SEDIN
VAN,T.PYATT,K.WELLWOOD,S.BERNIER
VAN,A.BURROWS,H.SEDIN,D.SEDIN
VAN,R.KESLER,M.SUNDIN,P.DEMITRA
VAN,D.SEDIN,S.SALO,H.SEDIN
VAN,H.SEDIN,K.BIEKSA,D.SEDIN
VAN,R.KESLER,P.DEMITRA,O.VAANANEN
VAN,H.SEDIN,A.BURROWS,S.SALO
VAN,A.BURROWS,H.SEDIN,D.SEDIN
VAN,M.RAYMOND,R.KESLER,S.SALO
VAN,H.SEDIN,D.SEDIN,
VAN,D.SEDIN,H.SEDIN,K.BIEKSA
VAN,R.KESLER,P.DEMITRA,M.SUNDIN
VAN,M.SUNDIN,K.WELLWOOD,R.KESLER
VAN,S.BERNIER,M.RAYMOND,K.BIEKSA
VAN,K.WELLWOOD,R.KESLER,P.DEMITRA
VAN,A.BURROWS,R.KESLER,
VAN,T.PYATT,A.BURROWS,R.JOHNSON
VAN,A.EDLER,R.KESLER,M.OHLUND
VAN,A.BURROWS,T.PYATT,W.MITCHELL
VAN,M.SUNDIN,K.BIEKSA,H.SEDIN
VAN,H.SEDIN,R.KESLER,P.DEMITRA
VAN,H.SEDIN,D.SEDIN,S.SALO
VAN,A.BURROWS,K.BIEKSA,D.SEDIN
VAN,K.WELLWOOD,P.DEMITRA,W.MITCHELL
VAN,R.KESLER,M.SUNDIN,P.DEMITRA
VAN,A.BURROWS,D.SEDIN,
VAN,T.PYATT,R.JOHNSON,S.SALO
VAN,A.EDLER,M.OHLUND,R.KESLER
VAN,M.SUNDIN,P.DEMITRA,R.KESLER
VAN,K.BIEKSA,S.SALO,D.SEDIN
VAN,A.BURROWS,W.MITCHELL,H.SEDIN
VAN,P.DEMITRA,M.SUNDIN,R.KESLER
VAN,S.BERNIER,S.OBRIEN,K.BIEKSA
VAN,A.BURROWS,H.SEDIN,D.SEDIN
VAN,S.SALO,H.SEDIN,M.SUNDIN
VAN,R.KESLER,M.SUNDIN,M.OHLUND
VAN,A.BURROWS,D.SEDIN,
VAN,A.EDLER,R.KESLER,P.DEMITRA
VAN,S.BERNIER,P.DEMITRA,R.JOHNSON
VAN,S.SALO,P.DEMITRA,H.SEDIN
