team,scorer,assist1,assist2
MIN,B.STAUBITZ,B.BURNS,C.MCMILLAN
DAL,B.RICHARDS,L.ERIKSSON,J.BENN
DAL,B.MORROW,L.ERIKSSON,A.GOLIGOSKI
MIN,J.SPURGEON,A.BRUNETTE,M.KOIVU
MIN,C.GILLIES,K.BRODZIAK,C.KOBASEW
DAL,A.GOLIGOSKI,L.ERIKSSON,B.RICHARDS
MIN,A.MIETTINEN,A.BRUNETTE,M.KOIVU
MIN,P.BOUCHARD,C.CLUTTERBUCK,G.ZANON
ATL,A.LADD,B.LITTLE,N.ANTROPOV
PIT,T.KENNEDY,M.NISKANEN,B.LOVEJOY
PIT,P.DUPUIS,M.TALBOT,C.CONNER
PIT,M.RUPP,E.GODARD,B.LOVEJOY
PIT,M.LETESTU,E.TANGRADI,A.KOVALEV
ATL,T.STAPLETON,N.ANTROPOV,R.HAINSEY
PIT,M.COMRIE,P.DUPUIS,M.NISKANEN
N.J,P.ELIAS,B.ROLSTON,H.TALLINDER
BOS,R.PEVERLEY,M.RYDER,A.FERENCE
N.J,V.ZHARKOV,A.SALMELA,
N.J,A.URBOM,J.JOSEFSON,D.CLARKSON
BOS,C.KELLY,D.SEIDENBERG,J.BOYCHUK
EDM,T.HARTIKAINEN,L.OMARK,K.FOSTER
COL,R.OREILLY,D.JONES,D.WINNIK
COL,P.DUPUIS,,
EDM,K.FOSTER,M.PAAJARVI,L.OMARK
EDM,L.REDDOX,R.OMARRA,
COL,M.HEJDUK,M.DUCHENE,D.JONES
COL,D.JONES,M.DUCHENE,M.HEJDUK
CHI,M.FROLIK,P.KANE,
DET,T.HOLMSTROM,,
DET,P.DATSYUK,D.CLEARY,T.BERTUZZI
DET,D.MILLER,V.FILPPULA,J.HUDLER
CHI,B.SEABROOK,N.HJALMARSSON,V.STALBERG
DET,D.CLEARY,T.BERTUZZI,B.RAFALSKI
CHI,D.KEITH,P.SHARP,M.HOSSA
CGY,J.IGINLA,A.TANGUAY,M.GIORDANO
CGY,M.BACKLUND,M.GIORDANO,
VAN,A.BURROWS,D.SEDIN,
VAN,R.KESLER,H.SEDIN,D.SEDIN
VAN,C.EHRHOFF,A.EDLER,J.HANSEN
S.J,I.WHITE,T.MITCHELL,K.WELLWOOD
S.J,J.PAVELSKI,J.THORNTON,P.MARLEAU
PHX,L.KORPIKOSKI,,
S.J,L.COUTURE,D.HEATLEY,K.WELLWOOD
ANA,B.MCMILLAN,,
ANA,S.KOIVU,C.PERRY,R.GETZLAF
ANA,F.BEAUCHEMIN,S.KOIVU,L.VISNOVSKY
L.A,R.SMYTH,D.DOUGHTY,J.JOHNSON
STL,T.OSHIE,D.BACKES,K.SHATTENKIRK
STL,A.STEEN,,
CBJ,D.DORSETT,S.PAHLSSON,C.CLARK
BUF,J.POMINVILLE,S.MONTADOR,B.BOYES
BUF,C.BUTLER,P.GAUSTAD,M.MANCARI
BUF,T.ENNIS,B.BOYES,
CBJ,J.BOLL,M.CALVERT,D.MACKENZIE
CBJ,K.HUSELIUS,A.VERMETTE,S.LEPISTO
BUF,D.STAFFORD,J.POMINVILLE,M.GRAGNANI
BUF,P.GAUSTAD,B.BOYES,T.MYERS
CBJ,K.HUSELIUS,G.CLITSOME,D.BRASSARD
FLA,B.THOMAS,P.RISSMILLER,T.KENNEDY
T.B,D.MOORE,S.DOWNIE,M.BERGERON
T.B,V.LECAVALIER,M.ST LOUIS,
T.B,S.STAMKOS,T.PURCELL,S.GAGNE
T.B,B.CLARK,V.LECAVALIER,M.ST LOUIS
CAR,C.STILLMAN,E.STAAL,J.SKINNER
CAR,C.LAROSE,B.SUTTER,J.MCBAIN
T.B,S.GAGNE,N.THOMPSON,
T.B,M.ST LOUIS,T.PURCELL,M.SMITH
PHI,K.TIMONEN,M.RICHARDS,K.VERSTEEG
PHI,S.HARTNELL,V.LEINO,A.MESZAROS
NYI,M.GRABNER,,
NYI,T.HAMONIC,J.TAVARES,K.OKPOSO
PHI,D.BRIERE,,
NYI,J.TAVARES,D.REESE,P.PARENTEAU
NYI,P.PARENTEAU,J.TAVARES,M.MOULSON
PHI,A.MESZAROS,M.CARLE,J.VAN RIEMSDYK
PHI,S.HARTNELL,D.BRIERE,A.MESZAROS
PHI,A.MESZAROS,D.BRIERE,J.CARTER
PHI,D.POWE,K.VERSTEEG,
MTL,R.WHITE,L.ELLER,T.PYATT
MTL,B.GIONTA,S.GOMEZ,M.DARCHE
TOR,P.KESSEL,J.COLBORNE,
MTL,B.GIONTA,Y.WEBER,R.HAMRLIK
MTL,T.PLEKANEC,T.PYATT,
BOS,D.PAILLE,G.CAMPBELL,S.THORNTON
OTT,B.BUTLER,M.MICHALEK,J.SPEZZA
BOS,N.HORTON,Z.CHARA,M.LUCIC
BOS,R.PEVERLEY,,
N.J,N.PALMIERI,I.KOVALCHUK,T.ZAJAC
NYR,C.DRURY,E.CHRISTENSEN,M.ZUCCARELLO
N.J,I.KOVALCHUK,A.GREENE,A.SALMELA
NYR,W.WOLSKI,R.FEDOTENKO,M.SAUER
NYR,R.MCDONAGH,V.PROSPAL,M.GABORIK
NYR,B.PRUST,B.DUBINSKY,D.STEPAN
NYR,V.PROSPAL,A.ANISIMOV,D.GIRARDI
T.B,V.LECAVALIER,M.ST LOUIS,S.STAMKOS
FLA,J.GARRISON,M.SANTORELLI,E.DADONOV
T.B,R.MALONE,,
T.B,V.LECAVALIER,,
T.B,P.KUBINA,R.MALONE,S.DOWNIE
