team,scorer,assist1,assist2
PHI,C.GIROUX,D.BRIERE,A.ASHAM
NYR,B.DUBINSKY,D.MORRIS,N.ZHERDEV
PHI,J.CARTER,M.CARLE,M.BIRON
NYR,B.DUBINSKY,N.ANTROPOV,D.MORRIS
PHI,D.BRIERE,A.ALBERTS,A.ASHAM
NYR,S.AVERY,S.GOMEZ,M.NASLUND
NYR,B.BETTS,A.VOROS,W.REDDEN
BOS,M.RYDER,D.KREJCI,M.LUCIC
BOS,P.KESSEL,B.WHEELER,M.SAVARD
BOS,M.SAVARD,M.RECCHI,P.KESSEL
BOS,P.KESSEL,C.KOBASEW,M.HUNWICK
BOS,C.KOBASEW,V.SOBOTKA,D.WIDEMAN
NYI,R.MARTINEK,M.STREIT,T.JACKMAN
NYI,D.WEIGHT,K.OKPOSO,S.BERGENHEIM
BOS,P.KESSEL,M.SAVARD,B.WHEELER
STL,B.BOYES,A.MCDONALD,J.MCKEE
CHI,A.LADD,B.SEABROOK,D.BYFUGLIEN
CHI,J.TOEWS,P.KANE,M.HAVLAT
CHI,D.BOLLAND,K.VERSTEEG,B.CAMPBELL
EDM,T.GILBERT,F.PISANI,A.COGLIANO
CGY,M.CAMMALLERI,C.CONROY,M.PELECH
CGY,M.CAMMALLERI,D.MOSS,J.VANDERMEER
CGY,C.CONROY,M.CAMMALLERI,A.AUCOIN
CGY,J.LUNDMARK,J.LEOPOLD,J.NEGRIN
CBJ,R.NASH,M.MALHOTRA,
CBJ,J.BOLL,A.MURRAY,
MIN,K.FOSTER,,
MIN,M.GABORIK,E.BELANGER,
MIN,M.SKOULA,K.FOSTER,M.GABORIK
MIN,M.GABORIK,M.KOIVU,A.BRUNETTE
MIN,M.BERGERON,M.ZIDLICKY,O.NOLAN
CBJ,D.DORSETT,K.RUSSELL,
MIN,M.KOIVU,,
WSH,B.LAICH,A.SEMIN,
FLA,D.BOOTH,B.MCCABE,S.WEISS
FLA,R.DVORAK,K.SKRASTINS,D.BOOTH
FLA,B.MCCABE,D.BOOTH,M.FROLIK
WSH,A.SEMIN,A.OVECHKIN,N.BACKSTROM
WSH,A.SEMIN,B.POTHIER,S.FEDOROV
FLA,D.BOOTH,M.FROLIK,K.SKRASTINS
WSH,A.OVECHKIN,V.KOZLOV,N.BACKSTROM
FLA,S.EMINGER,K.KREPS,B.MCLEAN
FLA,M.FROLIK,D.BOOTH,
FLA,N.TARNASKY,S.WEISS,K.BALLARD
ATL,C.ARMSTRONG,Z.BOGOSIAN,T.ENSTROM
ATL,E.PERRIN,M.REASONER,G.EXELBY
T.B,M.PETTINGER,J.HALPERN,K.QUICK
ATL,I.KOVALCHUK,T.WHITE,R.HAINSEY
